date,gold,fx,cpi,oil,set,gold_next,gold_lag1,gold_lag3,gold_roll7_mean,gold_pct_change,fx_lag1,fx_lag3,fx_roll7_mean,fx_pct_change,cpi_lag1,cpi_lag3,cpi_roll7_mean,cpi_pct_change,oil_lag1,oil_lag3,oil_roll7_mean,oil_pct_change,set_lag1,set_lag3,set_roll7_mean,set_pct_change
2024-08-20,40022.4,34.7568,100.94,3.851561224489796,1328.1199951171875,39870.8,40022.4,39916.28,40011.57142857143,0.0,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1323.3800048828125,1289.8399658203125,1304.555698939732,0.003581730279198725
2024-08-21,39870.8,34.7568,100.94,3.851561224489796,1337.8299560546875,39916.28,40022.4,40022.4,40005.07428571429,-0.0037878787878787845,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1328.1199951171875,1303.0,1310.3785574776787,0.007311056962622686
2024-08-22,39916.28,34.7568,100.94,3.851561224489796,1341.030029296875,39719.2,39870.8,40022.4,39976.92,0.0011406844106462977,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1337.8299560546875,1323.3800048828125,1316.555698939732,0.002391988030844061
2024-08-23,39719.2,34.7568,100.94,3.851561224489796,1354.8699951171875,39764.68,39916.28,40022.4,39927.10857142857,-0.00493733383972661,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1341.030029296875,1328.1199951171875,1325.4385637555804,0.010320399631594368
2024-08-26,39764.68,34.7568,100.94,3.851561224489796,1364.81005859375,39673.72,39719.2,39870.8,39905.451428571425,0.0011450381679389832,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1354.8699951171875,1337.8299560546875,1336.1485770089287,0.007336544105623011
2024-08-27,39673.72,34.7568,100.94,3.851561224489796,1364.31005859375,39567.6,39764.68,39916.28,39855.64,-0.002287457110179192,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1364.81005859375,1341.030029296875,1344.9071568080358,-0.0003663513445344435
2024-08-28,39567.6,34.7568,100.94,3.851561224489796,1365.719970703125,39719.2,39673.72,39719.2,39790.66857142857,-0.0026748184944593856,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1364.31005859375,1354.8699951171875,1350.9557233537946,0.0010334249905246118
2024-08-29,39719.2,34.7568,100.94,3.851561224489796,1357.4100341796875,39673.72,39567.6,39764.68,39747.35428571428,0.003831417624521105,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1365.719970703125,1364.81005859375,1355.1400146484375,-0.006084656226531759
2024-08-30,39673.72,34.7568,100.94,3.851561224489796,1359.0699462890625,39673.72,39719.2,39673.72,39719.200000000004,-0.0011450381679388721,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1357.4100341796875,1364.31005859375,1358.1742989676338,0.0012228523935864377
2024-09-02,39673.72,34.7568,100.94,3.851561224489796,1353.6400146484375,39719.2,39673.72,39567.6,39684.54857142857,0.0,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1359.0699462890625,1365.719970703125,1359.9757254464287,-0.00399532905237987
2024-09-03,39719.2,34.7568,100.94,3.851561224489796,1364.5999755859375,39431.16,39673.72,39719.2,39684.54857142857,0.001146350783339578,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1353.6400146484375,1357.4100341796875,1361.36572265625,0.008096658505139187
2024-09-04,39431.16,34.7568,100.94,3.851561224489796,1365.489990234375,39325.04,39719.2,39673.72,39636.90285714286,-0.007251908396946449,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1364.5999755859375,1359.0699462890625,1361.462855747768,0.0006522165208564523
2024-09-05,39325.04,34.7568,100.94,3.851561224489796,1404.280029296875,39234.08,39431.16,39673.72,39587.09142857143,-0.0026912725874663757,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1365.489990234375,1353.6400146484375,1367.1728515625,0.028407413704909068
2024-09-06,39234.08,34.7568,100.94,3.851561224489796,1427.6400146484375,39325.04,39325.04,39719.2,39539.44571428571,-0.0023130300693908756,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1404.280029296875,1364.5999755859375,1376.0185721261162,0.016634848366574584
2024-09-09,39325.04,34.7568,100.94,3.851561224489796,1431.1300048828125,39234.08,39234.08,39431.16,39483.137142857144,0.0023183925811436357,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1427.6400146484375,1365.489990234375,1386.5499965122767,0.0024445870097262734
