date,gold,fx,cpi,oil,set,gold_next,gold_lag1,gold_lag3,gold_roll7,gold_pct,fx_lag1,fx_lag3,fx_roll7,fx_pct,cpi_lag1,cpi_lag3,cpi_roll7,cpi_pct,oil_lag1,oil_lag3,oil_roll7,oil_pct,set_lag1,set_lag3,set_roll7,set_pct
2024-08-30,65764.08,34.7568,100.94,3.851561224489796,1359.0699462890625,65764.08,65764.08,65764.08,65764.08,0.0,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1357.4100341796875,1364.31005859375,1358.1742989676338,0.0012228523935864377
2024-09-02,65764.08,34.7568,100.94,3.851561224489796,1353.6400146484375,65764.08,65764.08,65764.08,65764.08,0.0,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1359.0699462890625,1365.719970703125,1359.9757254464287,-0.00399532905237987
2024-09-03,65764.08,34.7568,100.94,3.851561224489796,1364.5999755859375,65764.08,65764.08,65764.08,65764.08,0.0,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1353.6400146484375,1357.4100341796875,1361.36572265625,0.008096658505139187
2024-09-04,65764.08,34.7568,100.94,3.851561224489796,1365.489990234375,65764.08,65764.08,65764.08,65764.08,0.0,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1364.5999755859375,1359.0699462890625,1361.462855747768,0.0006522165208564523
2024-09-05,65764.08,34.7568,100.94,3.851561224489796,1404.280029296875,65764.08,65764.08,65764.08,65764.08,0.0,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1365.489990234375,1353.6400146484375,1367.1728515625,0.028407413704909068
2024-09-06,65764.08,34.7568,100.94,3.851561224489796,1427.6400146484375,65764.08,65764.08,65764.08,65764.08,0.0,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1404.280029296875,1364.5999755859375,1376.0185721261162,0.016634848366574584
2024-09-09,65764.08,34.7568,100.94,3.851561224489796,1431.1300048828125,65764.08,65764.08,65764.08,65764.08,0.0,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1427.6400146484375,1365.489990234375,1386.5499965122767,0.0024445870097262734
2024-09-10,65764.08,34.7568,100.94,3.851561224489796,1428.030029296875,65764.08,65764.08,65764.08,65764.08,0.0,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1431.1300048828125,1404.280029296875,1396.4014369419642,-0.0021661034115425526
2024-09-11,65764.08,34.7568,100.94,3.851561224489796,1415.4100341796875,65764.08,65764.08,65764.08,65764.08,0.0,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1428.030029296875,1427.6400146484375,1405.2257254464287,-0.008837345754837744
2024-09-12,65764.08,34.7568,100.94,3.851561224489796,1421.5799560546875,65764.08,65764.08,65764.08,65764.08,0.0,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1415.4100341796875,1431.1300048828125,1413.36572265625,0.004359105648545025
2024-09-13,65764.08,34.7568,100.94,3.851561224489796,1424.3900146484375,65764.08,65764.08,65764.08,65764.08,0.0,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1421.5799560546875,1428.030029296875,1421.7800118582588,0.0019767151202305655
